arthurtok/spooky-nlp-and-topic-modelling-tutorial,1421,90,,165
allunia/protein-atlas-exploration-and-baseline,1975,217,Programming%Beginner%Exploratory Data Analysis,172
dansbecker/using-categorical-data-with-one-hot-encoding,3084,10,,186
allunia/shaking-earth,674,89,Exploratory Data Analysis%Geology,140
sentdex/first-pass-through-data-w-3d-convnet,1102,10,CNN%Advanced,171
abhinand05/bert-for-humans-tutorial-baseline,1013,7,GPU,76
helgejo/an-interactive-data-science-tutorial,7036,14,,102
uysimty/keras-cnn-dog-or-cat-classification,2834,32,Beginner%Classification%Software%CNN%Binary Classification,148
shonenkov/training-efficientdet,2347,4,GPU%Deep Learning%Computer Vision%Research%Computer Science,190
robikscube/m5-forecasting-starter-data-exploration,914,36,,81
arthurtok/interactive-intro-to-dimensionality-reduction,2122,88,PCA%Dimensionality Reduction,122
jesperdramsch/intro-to-seismic-salt-and-how-to-geophysics,1583,8,Beginner%Deep Learning%Geology,118
saga21/covid-global-forecast-sir-model-ml-regressions,1511,75,Beginner%Exploratory Data Analysis%Feature Engineering%Coronavirus,241
dansbecker/selecting-and-filtering-in-pandas,4320,7,Learn,4
tarunpaparaju/lyft-competition-understanding-the-data,655,62,Data Visualization%Exploratory Data Analysis%Image Data,70
willkoehrsen/introduction-to-manual-feature-engineering,1340,10,Beginner%Feature Engineering,79
kneroma/m5-first-public-notebook-under-0-50,1503,6,,156
bsivavenu/house-price-calculation-methods-for-beginners,898,24,GPU%Beginner%Data Visualization%Exploratory Data Analysis,70
artgor/segmentation-in-pytorch-using-convenient-tools,1311,37,Data Visualization%Exploratory Data Analysis%Deep Learning%Computer Vision,272
tarunpaparaju/m5-competition-eda-models,673,71,Data Visualization%Exploratory Data Analysis%Economics%Signal Processing,65
masumrumi/a-detailed-regression-guide-with-house-pricing,747,29,Data Visualization%Exploratory Data Analysis%Feature Engineering%Regression,128
tarunpaparaju/plant-pathology-2020-eda-models,921,88,Data Visualization%Exploratory Data Analysis%Deep Learning%Computer Vision,96
piantic/osic-pulmonary-fibrosis-progression-basic-eda,521,84,Beginner%Exploratory Data Analysis%Feature Engineering,84
ogrellier/feature-selection-with-null-importances,651,8,,106
artgor/molecular-properties-eda-and-models,888,24,Data Visualization%Exploratory Data Analysis%Feature Engineering%Regression,130
breemen/nyc-taxi-fare-data-exploration,1105,13,Data Visualization%Linear Regression%Travel%Geospatial Analysis,126
andradaolteanu/birdcall-recognition-eda-and-audio-fe,349,9,Data Visualization%Exploratory Data Analysis%Feature Engineering%Audio Data,104
artgor/earthquakes-fe-more-features-and-samples,1310,66,Data Visualization%Exploratory Data Analysis%Feature Engineering%Regression%Earth Science,141
kanncaa1/convolutional-neural-network-cnn-tutorial,1410,15,pandas%Matplotlib%NumPy%Seaborn,61
jagangupta/stop-the-s-toxic-comments-eda,1015,21,Beginner%Data Visualization%Exploratory Data Analysis%NLP,108
kakauandme/tensorflow-deep-nn,2748,36,Neural Networks,200
shahules/an-overview-of-encoding-techniques,277,19,GPU%pandas%Matplotlib%NumPy%Beginner,73
cdeotte/triple-stratified-kfold-with-tfrecords,1690,5,TPU,263
cstein06/tutorial-to-the-g-research-crypto-competition,1758,9,Currencies and Foreign Exchange,86
shivamb/cnn-architectures-vgg-resnet-inception-tl,1028,11,Deep Learning%CNN,61
artgor/quick-and-dirty-regression,1816,3,Beginner%Feature Engineering%Regression%Optimization,107
nxrprime/siim-d3-eda-augmentations-and-resnext,490,170,GPU%Exploratory Data Analysis%Medicine,140
pestipeti/pytorch-starter-fasterrcnn-train,2142,2,GPU%Computer Vision,150
faressayah/practical-introduction-to-10-regression-algorithm,1165,36,pandas%Matplotlib%NumPy%Seaborn%Beginner,116
gpreda/deepfake-starter-kit,1095,22,Beginner%Computer Vision%GAN,96
cdeotte/25-million-images-0-99757-mnist,922,17,pandas%Matplotlib%NumPy%Deep Learning%CNN,153
rajmehra03/a-detailed-explanation-of-keras-embedding-layer,320,5,Beginner%Deep Learning%NLP%Text Data,42
artgor/exploration-of-data-step-by-step,828,36,Data Visualization%Exploratory Data Analysis%Classification%Feature Engineering,129
erikbruin/riiid-comprehensive-eda-baseline,940,31,,79
sishihara/upura-kaggle-tutorial-01-first-submission,5323,11,pandas%NumPy%Beginner,4
kenjee/titanic-project-example,1201,18,pandas%Matplotlib%NumPy%Seaborn%Beginner,168
sharmasanthosh/exploratory-study-on-ml-algorithms,1029,57,Model Comparison,88
hidehisaarai1213/introduction-to-sound-event-detection,1607,3,GPU%Deep Learning%Audio Data,144
philculliton/nlp-getting-started-tutorial,2316,5,,98
fizzbuzz/beginner-s-guide-to-audio-data,1393,15,Beginner%Data Visualization%Deep Learning%CNN,61
maheshdadhich/strength-of-visualization-python-visuals-tutorial,1048,96,Data Visualization%XGBoost,108
sudalairajkumar/simple-exploration-notebook-instacart,1012,13,Data Visualization%Exploratory Data Analysis,89
yag320/list-of-fake-samples-and-public-private-lb-split,562,14,,57
jesucristo/gan-introduction,892,21,Beginner%Deep Learning%Computer Vision%GAN,74
fabiendaniel/elo-world,1582,35,Games,75
dansbecker/tensorflow-programming,6371,25,NumPy%Learn,74
cdeotte/pseudo-labeling-qda-0-969,835,4,pandas%Matplotlib%NumPy,105
cdeotte/how-to-choose-cnn-architecture-mnist,475,11,Beginner%Deep Learning%CNN,108
awsaf49/great-barrier-reef-yolov5-train,1338,33,Business,99
iafoss/pretrained-resnet34-with-rgby-0-460-public-lb,2601,24,Classification%Deep Learning%CNN%Multiclass Classification,277
gpreda/lanl-earthquake-eda-and-prediction,1270,17,Earth Science%Geology,85
ekami66/detailed-exploratory-data-analysis-with-python,1006,3,,59
yuliagm/how-to-work-with-big-datasets-on-16g-ram-dask,256,4,,66
sudalairajkumar/simple-exploration-notebook-qiqc,669,7,Beginner%Exploratory Data Analysis%Text Data,47
jiweiliu/lgb-2-leaves-augment,1136,2,,118
isaienkov/mechanisms-of-action-moa-prediction-eda,558,112,Beginner%Exploratory Data Analysis%Classification%Tabular Data%Medicine,102
rishabhiitbhu/unet-starter-kernel-pytorch-lb-0-88,1516,16,Beginner%Software,207
pmarcelino/data-analysis-and-feature-extraction-with-python,767,52,pandas%Matplotlib%NumPy%Seaborn%Beginner,85
jeffd23/scikit-learn-ml-from-start-to-finish,2670,7,,100
theoviel/deep-learning-starter-simple-lstm,725,6,pandas%Matplotlib%NumPy,46
amyjang/monet-cyclegan-tutorial,1905,12,TPU%Art%Computer Vision%GAN,60
theoviel/improve-your-score-with-some-text-preprocessing,425,7,Data Cleaning,48
jesucristo/1-house-prices-solution-top-1,1349,9,pandas%Matplotlib%NumPy%Seaborn%Beginner,113
nareshbhat/outlier-the-silent-killer,252,43,Beginner%Exploratory Data Analysis%Data Cleaning%Outlier Analysis,93
allunia/pulmonary-dicom-preprocessing,554,119,Beginner%Data Visualization%Exploratory Data Analysis%Education%Data Cleaning,109
nxrprime/understanding-the-data-catalyst-kekas-baseline,716,126,GPU,132
artgor/how-to-not-overfit,583,32,Beginner%Data Visualization%Classification%Model Explainability,127
abhinand05/vision-transformer-vit-tutorial-baseline,532,13,TPU%Education%Computer Vision%PyTorch%Transformers,52
arthurtok/interactive-porto-insights-a-plot-ly-tutorial,835,86,,141
bgmello/neural-networks-feature-engineering-for-the-win,896,60,Data Cleaning%Feature Engineering%Neural Networks,83
headsortails/pytanic,1138,131,Exploratory Data Analysis%Data Cleaning%Feature Engineering%Model Comparison,186
stkbailey/teaching-notebook-for-total-imaging-newbies,825,11,,51
shahules/tackling-class-imbalance,250,15,,60
sudalairajkumar/simple-exploration-notebook-mercedes,538,10,Data Visualization%Exploratory Data Analysis,79
abhinand05/covid-19-digging-a-bit-deeper,434,19,,60
marcovasquez/basic-eda-data-visualization,428,13,pandas%Matplotlib%Seaborn%Data Visualization%Image Data,63
julian3833/1-quick-start-read-csv-and-flatten-json-fields,549,3,,110
robikscube/2019-data-science-bowl-an-introduction,455,20,pandas%Matplotlib%NumPy%Seaborn%Education,59
hocop1/centernet-baseline,1112,19,Data Visualization%Exploratory Data Analysis%Image Data,157
pedrodematos/titanic-a-complete-approach-for-data-scientists,471,125,Exploratory Data Analysis%Classification%Data Cleaning%Feature Engineering%Clustering,190
anshuls235/time-series-forecasting-eda-fe-modelling,753,13,Beginner%Data Visualization%Exploratory Data Analysis%Feature Engineering,169
qitvision/a-complete-ml-pipeline-fast-ai,1149,18,Data Visualization%Cancer%Computer Vision,128
marsggbo/kaggle,894,3,,75
parulpandey/useful-python-libraries-for-data-science,238,19,Beginner%Data Visualization%Exploratory Data Analysis,90
martinpiotte/whale-recognition-model-with-score-0-78563,903,2,CNN%Animals%Earth Science,52
fizzbuzz/beginner-s-guide-to-capsule-networks,391,29,Beginner%Deep Learning%NLP%Text Data%Architecture,67
kaushal2896/bengali-graphemes-starter-eda-multi-output-cnn,1482,64,GPU,198
arnavkj95/candidate-generation-and-luna16-preprocessing,892,62,Deep Learning%Biology%Computer Vision%Advanced,117
vbmokin/nlp-eda-bag-of-words-tf-idf-glove-bert,798,104,Data Visualization%Exploratory Data Analysis%Classification%Deep Learning,82
tanlikesmath/intro-aptos-diabetic-retinopathy-eda-starter,697,11,Beginner%Classification%Deep Learning%Diabetes%Eyes and Vision,37
andradaolteanu/pulmonary-fibrosis-competition-eda-dicom-prep,243,8,Exploratory Data Analysis%Data Cleaning%Image Data%Tabular Data,51
zahaviguy/what-are-lung-opacities,396,22,Data Visualization%Medicine,79
cdeotte/200-magical-models-santander-0-920,347,4,Arts and Entertainment,173
sudalairajkumar/simple-exploration-notebook-elo,709,13,,78
kashnitsky/vowpal-wabbit-tutorial-blazingly-fast-learning,202,11,Beginner%Education%NLP%Linear Regression%Learn,32
bigironsphere/loss-function-library-keras-pytorch,135,22,TensorFlow%Keras,73
gaborfodor/from-eda-to-the-top-lb-0-367,957,43,Feature Engineering%XGBoost%Geospatial Analysis%Advanced,102
sudalairajkumar/simple-exploration-notebook-2-connect,510,10,Data Visualization%Exploratory Data Analysis,69
mjbahmani/santander-ml-explainability,406,18,Beginner%Exploratory Data Analysis%Model Explainability%Banking,58
cdeotte/part-2-rapids-tfidfvectorizer-cv-0-700,1224,6,,130
alexisbcook/intro-to-automl,664,11,pandas,216
yuliagm/talkingdata-eda-plus-time-patterns,608,4,,58
parulpandey/a-guide-to-handling-missing-values-in-python,242,11,Beginner%Exploratory Data Analysis%Data Cleaning,61
andreshg/timeseries-analysis-a-complete-guide,385,26,pandas%Matplotlib%NumPy%Seaborn,169
jesperdramsch/intro-chest-xray-dicom-viz-u-nets-full-data,731,8,Beginner%Data Visualization%Deep Learning%CNN%Health Conditions,45
dgawlik/house-prices-eda,1362,104,,69
devm2024/keras-model-for-beginners-0-210-on-lb-eda-r-d,891,15,Data Visualization%Deep Learning,87
arsenynerinovsky/cellular-automata-as-a-language-for-reasoning,235,47,,52
mnassrib/titanic-logistic-regression-with-python,1217,17,Beginner%Data Visualization%Feature Engineering%Logistic Regression,66
erikbruin/data-science-bowl-2019-eda-and-baseline,625,16,,67
kabure/exploring-the-consumer-patterns-ml-pipeline,506,24,Data Visualization%Finance%E-Commerce Services,80
