alexisbcook/titanic-tutorial,8615,,,25803
kanncaa1/data-sciencetutorial-for-beginners,15953,Version,Beginner%Data Visualization%Exploratory Data Analysis,1115
janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,6000,Version,Data Visualization%Classification%Finance%Banking%Dimensionality Reduction,589
alexisbcook/getting-started-with-kaggle,1668,Version,,4221
kanncaa1/machine-learning-tutorial-for-beginners,4727,Version,Beginner%Classification,287
sudalairajkumar/winning-solutions-of-kaggle-competitions,1590,Version,pandas%Beginner,188
kanncaa1/deep-learning-tutorial-for-beginners,4187,Version,Beginner%Classification%Deep Learning%Neural Networks,236
thebrownviking20/everything-you-can-do-with-a-time-series,2487,Version,Beginner%Time Series Analysis,158
therealcyberlord/coronavirus-covid-19-visualization-prediction,6592,Version,Data Visualization%Exploratory Data Analysis%Health%Coronavirus%Healthcare,682
shivamb/data-science-glossary-on-kaggle,1664,Version,Beginner%Advanced,219
imdevskp/covid-19-analysis-visualization-comparisons,4344,Version,Health%Coronavirus%Diseases,353
kanncaa1/feature-selection-and-data-visualization,2775,Version,Data Visualization%Classification%Feature Engineering%Healthcare,292
dansbecker/explore-your-data,13198,Version,Learn,236
kanncaa1/plotly-tutorial-for-beginners,2362,Version,pandas%Matplotlib%NumPy%Beginner%Data Visualization,139
benhamner/python-data-visualizations,6560,Version,Beginner%Data Visualization,152
ibtesama/getting-started-with-a-movie-recommendation-system,2576,Version,pandas%Matplotlib%NumPy%Beginner%Online Communities,165
rtatman/getting-started-in-r-first-steps,11484,Version,Programming%Beginner,79
rtatman/data-cleaning-challenge-handling-missing-values,16073,Version,Games%Daily Challenge,364
vbmokin/data-science-for-tabular-data-advanced-techniques,561,Version,Beginner%Data Visualization%Exploratory Data Analysis%Classification%Feature Engineering,98
maksimeren/covid-19-literature-clustering,1713,Version,pandas%Matplotlib%NumPy%Seaborn%Data Visualization,225
kanncaa1/seaborn-tutorial-for-beginners,2577,Version,Data Visualization,177
tentotheminus9/what-causes-heart-disease-explaining-the-model,1333,Version,Health%Random Forest%Binary Classification%Heart Conditions%Model Explainability,136
janiobachmann/lending-club-risk-analysis-and-metrics,1756,Version,Beginner%Data Visualization%Exploratory Data Analysis%Classification%Finance,187
ash316/ml-from-scratch-with-iris,1314,Version,,80
fabiendaniel/customer-segmentation,2760,Version,Classification%Clustering%Marketing,60
dansbecker/intro-to-dl-for-computer-vision,2309,Version,Learn,71
burhanykiyakoglu/predicting-house-prices,1503,Version,Regression%Linear Regression,108
ash316/novice-to-grandmaster,648,Version,Data Visualization%Exploratory Data Analysis%Survey Analysis,129
jessemostipak/dive-into-dplyr-tutorial-1,64339,Version,Beginner%Exploratory Data Analysis%Data Cleaning%Tidyverse%dplyr,67
kushal1996/customer-segmentation-k-means-analysis,1079,Version,Data Visualization%Exploratory Data Analysis%Clustering,68
kashnitsky/topic-1-exploratory-data-analysis-with-pandas,2742,Version,Programming%Beginner%Exploratory Data Analysis%Learn,57
faressayah/stock-market-analysis-prediction-using-lstm,3234,Version,Data Visualization%Investing%Finance%Time Series Analysis%LSTM,163
joparga3/in-depth-skewed-data-classif-93-recall-acc-now,2182,Version,Finance%Crime,123
kashnitsky/topic-9-part-1-time-series-analysis-in-python,1764,Version,Beginner%Feature Engineering%Learn,67
colinmorris/hello-python-daily,3128,Version,Programming,181
vishalyo990/prediction-of-quality-of-wine,1185,Version,Beginner%Data Visualization%Random Forest%SVM,82
