kanncaa1/data-sciencetutorial-for-beginners,15954,749,Beginner%Data Visualization%Exploratory Data Analysis,1115
janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,6005,70,Data Visualization%Classification%Finance%Banking%Dimensionality Reduction,589
alexisbcook/getting-started-with-kaggle,1669,18,,4222
kanncaa1/machine-learning-tutorial-for-beginners,4728,508,Beginner%Classification,287
sudalairajkumar/winning-solutions-of-kaggle-competitions,1590,18,pandas%Beginner,188
kanncaa1/deep-learning-tutorial-for-beginners,4188,349,Beginner%Classification%Deep Learning%Neural Networks,236
thebrownviking20/everything-you-can-do-with-a-time-series,2487,20,Beginner%Time Series Analysis,158
therealcyberlord/coronavirus-covid-19-visualization-prediction,6599,699,Data Visualization%Exploratory Data Analysis%Health%Coronavirus%Healthcare,682
shivamb/data-science-glossary-on-kaggle,1664,14,Beginner%Advanced,219
imdevskp/covid-19-analysis-visualization-comparisons,4345,76,Health%Coronavirus%Diseases,353
kanncaa1/feature-selection-and-data-visualization,2775,516,Data Visualization%Classification%Feature Engineering%Healthcare,292
dansbecker/explore-your-data,13199,36,Learn,236
kanncaa1/plotly-tutorial-for-beginners,2366,304,pandas%Matplotlib%NumPy%Beginner%Data Visualization,139
benhamner/python-data-visualizations,6560,15,Beginner%Data Visualization,152
ibtesama/getting-started-with-a-movie-recommendation-system,2582,9,pandas%Matplotlib%NumPy%Beginner%Online Communities,166
rtatman/getting-started-in-r-first-steps,11503,17,Programming%Beginner,80
rtatman/data-cleaning-challenge-handling-missing-values,16075,8,Games%Daily Challenge,364
vbmokin/data-science-for-tabular-data-advanced-techniques,561,61,Beginner%Data Visualization%Exploratory Data Analysis%Classification%Feature Engineering,98
maksimeren/covid-19-literature-clustering,1713,29,pandas%Matplotlib%NumPy%Seaborn%Data Visualization,225
kanncaa1/seaborn-tutorial-for-beginners,2580,407,Data Visualization,177
tentotheminus9/what-causes-heart-disease-explaining-the-model,1335,14,Health%Random Forest%Binary Classification%Heart Conditions%Model Explainability,136
janiobachmann/lending-club-risk-analysis-and-metrics,1757,68,Beginner%Data Visualization%Exploratory Data Analysis%Classification%Finance,187
ash316/ml-from-scratch-with-iris,1314,29,,80
fabiendaniel/customer-segmentation,2762,65,Classification%Clustering%Marketing,60
dansbecker/intro-to-dl-for-computer-vision,2309,26,Learn,71
burhanykiyakoglu/predicting-house-prices,1504,26,Regression%Linear Regression,108
ash316/novice-to-grandmaster,648,45,Data Visualization%Exploratory Data Analysis%Survey Analysis,129
jessemostipak/dive-into-dplyr-tutorial-1,64529,13,Beginner%Exploratory Data Analysis%Data Cleaning%Tidyverse%dplyr,67
kushal1996/customer-segmentation-k-means-analysis,1079,5,Data Visualization%Exploratory Data Analysis%Clustering,68
kashnitsky/topic-1-exploratory-data-analysis-with-pandas,2745,10,Programming%Beginner%Exploratory Data Analysis%Learn,57
faressayah/stock-market-analysis-prediction-using-lstm,3239,30,Data Visualization%Investing%Finance%Time Series Analysis%LSTM,163
joparga3/in-depth-skewed-data-classif-93-recall-acc-now,2182,5,Finance%Crime,123
kashnitsky/topic-9-part-1-time-series-analysis-in-python,1766,4,Beginner%Feature Engineering%Learn,67
colinmorris/hello-python-daily,3128,25,Programming,181
vishalyo990/prediction-of-quality-of-wine,1188,2,Beginner%Data Visualization%Random Forest%SVM,83
kanncaa1/time-series-prediction-tutorial-with-eda,1592,164,Beginner%Data Visualization,72
